keypoint_1_x,keypoint_1_y,keypoint_1_z,keypoint_2_x,keypoint_2_y,keypoint_2_z,keypoint_3_x,keypoint_3_y,keypoint_3_z,keypoint_4_x,keypoint_4_y,keypoint_4_z,keypoint_5_x,keypoint_5_y,keypoint_5_z,keypoint_6_x,keypoint_6_y,keypoint_6_z,keypoint_7_x,keypoint_7_y,keypoint_7_z,keypoint_8_x,keypoint_8_y,keypoint_8_z,keypoint_9_x,keypoint_9_y,keypoint_9_z,keypoint_10_x,keypoint_10_y,keypoint_10_z,keypoint_11_x,keypoint_11_y,keypoint_11_z,keypoint_12_x,keypoint_12_y,keypoint_12_z,keypoint_13_x,keypoint_13_y,keypoint_13_z,keypoint_14_x,keypoint_14_y,keypoint_14_z,keypoint_15_x,keypoint_15_y,keypoint_15_z,keypoint_16_x,keypoint_16_y,keypoint_16_z,keypoint_17_x,keypoint_17_y,keypoint_17_z,keypoint_18_x,keypoint_18_y,keypoint_18_z,keypoint_19_x,keypoint_19_y,keypoint_19_z,keypoint_20_x,keypoint_20_y,keypoint_20_z,keypoint_21_x,keypoint_21_y,keypoint_21_z,keypoint_22_x,keypoint_22_y,keypoint_22_z,keypoint_23_x,keypoint_23_y,keypoint_23_z,keypoint_24_x,keypoint_24_y,keypoint_24_z,keypoint_25_x,keypoint_25_y,keypoint_25_z
1168.5022999999999,218.11405,0.8587486,1149.4648,359.06364,0.80412159,1026.7762,343.38430999999997,0.69893489,929.3371400000001,476.105,0.68695628,949.35239,493.68854999999996,0.8039990400000001,1280.5657,376.55428,0.6844692000000001,1330.4026000000001,553.0809399999999,0.7511986,1274.884,603.31409,0.75336905,1066.7077,637.83795,0.56491228,983.13914,620.73253,0.5208824599999999,876.7638099999999,801.47821,0.62248471,510.19244,709.4173,0.066697318,1145.787,656.6955,0.5086357499999999,1025.8506,844.94016,0.6545710800000001,39.34059,42.995200000000004,0.0024180309999999997,1152.7283,200.54036,0.86370161,1200.0201,207.70008,0.9035070500000001,1094.7466,224.33719000000002,0.667132163,1235.3446000000001,245.37913,0.7911561399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1168.2365,218.08449999999996,0.85861488,1149.7304000000001,358.97650999999996,0.8036987500000001,1027.042,343.38214999999997,0.69939116,930.5422599999999,476.89884000000006,0.6867984300000001,953.23765,492.92374,0.80319907,1280.8309000000002,376.55351,0.6845389000000001,1330.4331,553.10968,0.75058806,1274.8551,602.84398,0.75297888,1066.7085,637.57326,0.5645403999999999,983.1679399999999,620.46794,0.5207403,876.7926699999999,801.6250600000001,0.62200787,510.10296999999997,709.4173,0.065861562,1145.816,656.4606299999999,0.5085832299999999,1025.5571,845.2930399999999,0.65517741,39.34059,42.995200000000004,0.0024180309999999997,1152.4925,200.54064000000002,0.8636676499999999,1199.7548000000002,207.5825,0.903331,1094.6294,224.33674,0.6602654129999999,1235.2564,245.20306,0.7910254499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1167.8827,218.34916,0.85883838,1149.9952,358.82946,0.80313022,1027.3370000000002,343.23365000000007,0.7003069599999999,931.0137199999999,476.98737,0.68629587,955.12216,490.8342099999999,0.80221193,1281.0368,376.40645000000006,0.68414105,1330.4036999999998,553.11041,0.75103466,1274.2963,601.37227,0.7533203199999999,1066.8267,637.16094,0.56424695,983.34478,620.05548,0.52051248,876.88179,801.71336,0.6213758,510.01324,709.4172,0.06610666700000001,1145.9926,656.10776,0.50859842,1025.4377,845.35281,0.6537604899999999,39.34059,42.995200000000004,0.0024180309999999997,1152.111,200.83392,0.86387198,1199.2856,207.6707,0.9031271500000001,1083.4695,221.94801999999999,0.652646723,1235.138,245.05558000000002,0.7915335299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1167.8537,218.40789,0.85857634,1149.9945,358.85729999999995,0.80337448,1027.3378,343.23398000000003,0.70044117,931.01444,477.10414999999995,0.68643013,955.1207300000001,490.83271,0.8022346400000001,1281.0061,376.43591,0.6840574600000001,1330.5493,553.14089,0.75122163,1274.3256,601.3444999999999,0.75302248,1066.8262,637.1322,0.56438886,983.3155499999999,620.0844099999999,0.5205368100000001,876.85253,801.8600499999999,0.62117193,510.01324,709.4172,0.06610666700000001,1145.992,656.02002,0.50879701,1025.4374,845.38163,0.6529789100000001,39.34059,42.995200000000004,0.0024180309999999997,1152.1109,200.86271999999997,0.8639778000000001,1199.258,207.69838,0.90305847,1083.4697,221.9472,0.652952343,1235.1666,245.05319000000003,0.79099396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1167.8253,218.34915999999998,0.8588323699999999,1149.9948,358.85778000000005,0.80329328,1027.3669,343.20446,0.7004145399999999,930.9851600000001,476.98716,0.68600116,955.12068,490.8047,0.80230964,1281.0072,376.49342,0.68443281,1330.5511999999999,553.13916,0.7514531200000001,1274.4436,601.37381,0.753135,1066.7388999999998,637.07345,0.56412825,983.28712,619.99598,0.52054321,876.8530800000001,801.9772899999999,0.62102407,517.78816,720.166,0.066758568,1145.963,655.99068,0.50860158,1025.5262,845.41001,0.6532221200000001,39.34059,42.995200000000004,0.0024180309999999997,1152.0825,200.86178,0.8636992000000001,1199.2581,207.67083,0.90302667,1083.469,221.94701,0.6525056929999999,1235.1386,245.08277,0.79116806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1167.7662,218.32071,0.8588989000000001,1149.9661999999998,358.85929,0.8032987199999999,1027.3373,343.29182999999995,0.7000257500000001,930.95603,476.9875799999999,0.68560928,955.12235,490.80433,0.8024350800000001,1281.0065,376.52353999999997,0.68436903,1330.609,553.1671,0.75135909,1274.443,601.34409,0.75336999,1066.7391,637.1038100000001,0.56414859,983.25681,620.11359,0.52026114,876.85301,801.88979,0.62083568,517.64281,720.1659999999999,0.066712961,1145.9629,656.0199700000001,0.50876041,1025.5273000000002,845.3803700000001,0.6531342800000001,39.34059,42.995200000000004,0.0024180309999999997,1151.9958,200.89075,0.8633032200000001,1199.2292,207.6704,0.9028874299999999,1083.4388000000001,222.15093000000002,0.6533465729999999,1235.1374,245.11134,0.79130479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1167.6476,218.6436,0.8587874699999999,1149.9367,358.80071,0.80308962,1027.3073,343.20298,0.70015242,930.24911,476.28092,0.68560345,953.1505999999999,489.59657999999996,0.8019821899999999,1280.9185,376.49417,0.68401557,1330.6367,553.2561499999999,0.75086049,1274.1487000000002,600.0782,0.7534646599999999,1066.7984,636.83907,0.56473599,983.43287,619.8488199999999,0.52058988,877.02928,801.53637,0.62077805,517.61357,720.1661,0.066818908,1145.9623,655.78493,0.50899143,1025.7348,844.93892,0.6521428400000001,39.34059,42.995200000000004,0.0024180309999999997,1151.8202,201.09658,0.86368917,1199.0233,207.87679,0.90304593,1083.2922,221.97467,0.653419023,1235.0487,245.08189,0.7920517400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1167.2359999999999,218.93753,0.858537,1150.1413,358.62577,0.80295512,1027.543,343.11363,0.70080347,930.75102,476.28121999999996,0.68633874,955.03358,487.56494,0.80082457,1280.9479000000001,376.34765,0.6838909500000001,1330.6678,553.2272300000001,0.7511036,1273.7071,598.6645299999999,0.7534245199999999,1066.9164,636.27958,0.56484472,983.6687100000001,619.20214,0.52030205,877.2052199999999,801.2417200000001,0.6209831299999999,517.55399,720.1661,0.067159623,1146.1088,655.28487,0.50913107,1025.5874,844.99794,0.65161754,39.34059,42.995200000000004,0.0024180309999999997,1151.4369,201.33253000000002,0.86418375,1198.5528,207.99380000000002,0.9025886599999999,1083.1447,221.94462,0.6458262410000001,1234.8429,244.90571,0.7930120700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1167.3249,218.99596000000003,0.85876435,1150.1104,358.68432,0.8029459,1027.4533000000001,343.11229999999995,0.7001528100000001,929.86722,475.60478,0.68425044,951.7948000000001,486.59375,0.80056461,1280.9769000000001,376.40683000000007,0.68339714,1330.7567000000001,553.40392,0.75056309,1273.5318,597.98668,0.7545084900000001,1066.9460000000001,636.1911699999999,0.56549399,983.66797,619.20195,0.52039733,877.2946400000001,801.1227500000001,0.6204350700000001,517.67143,720.166,0.066972753,1146.1388,655.0784199999999,0.5094959400000001,1025.8232,844.76276,0.65111414,39.34059,42.995200000000004,0.0024180309999999997,1151.4976000000001,201.27431,0.8637505600000001,1198.6127000000001,207.96518,0.9022680299999999,1083.2028,221.79818,0.647998981,1234.9605999999999,244.87541000000002,0.79293379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
1166.7072,218.96658,0.85849729,1149.993,358.68506,0.80286847,1027.3939,343.11159999999995,0.7000517500000001,929.9262,475.5159499999999,0.68398567,951.9422999999999,486.56383999999997,0.80026816,1280.7717,376.46472,0.6832165599999999,1330.6986000000002,553.46289,0.75094118,1273.5917,598.0154200000001,0.7544334300000002,1066.9751,636.19132,0.56582267,983.69846,619.23164,0.52070182,877.32641,800.8883599999999,0.62121265,517.67171,720.166,0.067093793,1146.1096,655.10662,0.50954975,1025.8226000000002,844.46989,0.6520448299999999,39.34059,42.995200000000004,0.0024180309999999997,1150.9675,201.24503,0.8631935,1197.9659,207.96233,0.90279704,1071.7186,219.55502,0.6417173509999999,1234.6657999999998,244.84400000000002,0.79334349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27833,75.2432,0.0045859839999999995
