keypoint_1_x,keypoint_1_y,keypoint_1_z,keypoint_2_x,keypoint_2_y,keypoint_2_z,keypoint_3_x,keypoint_3_y,keypoint_3_z,keypoint_4_x,keypoint_4_y,keypoint_4_z,keypoint_5_x,keypoint_5_y,keypoint_5_z,keypoint_6_x,keypoint_6_y,keypoint_6_z,keypoint_7_x,keypoint_7_y,keypoint_7_z,keypoint_8_x,keypoint_8_y,keypoint_8_z,keypoint_9_x,keypoint_9_y,keypoint_9_z,keypoint_10_x,keypoint_10_y,keypoint_10_z,keypoint_11_x,keypoint_11_y,keypoint_11_z,keypoint_12_x,keypoint_12_y,keypoint_12_z,keypoint_13_x,keypoint_13_y,keypoint_13_z,keypoint_14_x,keypoint_14_y,keypoint_14_z,keypoint_15_x,keypoint_15_y,keypoint_15_z,keypoint_16_x,keypoint_16_y,keypoint_16_z,keypoint_17_x,keypoint_17_y,keypoint_17_z,keypoint_18_x,keypoint_18_y,keypoint_18_z,keypoint_19_x,keypoint_19_y,keypoint_19_z,keypoint_20_x,keypoint_20_y,keypoint_20_z,keypoint_21_x,keypoint_21_y,keypoint_21_z,keypoint_22_x,keypoint_22_y,keypoint_22_z,keypoint_23_x,keypoint_23_y,keypoint_23_z,keypoint_24_x,keypoint_24_y,keypoint_24_z,keypoint_25_x,keypoint_25_y,keypoint_25_z
317.539,67.0157,0.511876,311.082,124.463,0.377901,262.793,115.338,0.344421,209.281,151.848,0.353843,151.863,164.898,0.716292,364.562,130.962,0.312542,382.849,180.572,0.163576,391.976,218.417,0.621548,256.25,260.173,0.135208,0,0,0,0,0,0,0,0,0,286.27,270.614,0.0901292,0,0,0,0,0,0,308.452,53.9892,0.531667,329.338,56.6201,0.543278,296.688,59.2047,0.0942407,350.192,68.3614,0.431883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317.638,56.6508,0.929083,314.956,120.577,0.62333,266.673,110.142,0.5947,214.507,150.533,0.511822,151.832,163.629,0.71833,361.957,130.962,0.54317,389.335,179.27,0.431913,397.207,219.703,0.700599,256.283,254.959,0.22614,223.637,240.598,0.193154,162.301,348.911,0.132139,110.083,422.011,0.240303,291.491,266.702,0.214364,237.99,363.261,0.0793489,0,0,0,312.389,47.4423,0.898018,331.938,48.8189,0.833059,305.799,55.3274,0.126578,350.271,70.9651,0.77207,0,0,0,0,0,0,0,0,0,100.974,438.952,0.0913554,91.8344,432.424,0.114673,107.475,425.893,0.116098
329.309,54.0133,0.830718,318.929,124.467,0.763816,267.995,111.402,0.683741,214.511,162.333,0.5623,200.154,194.914,0.673897,372.399,140.124,0.7199,378.921,204.061,0.654084,343.683,228.836,0.718557,270.603,243.201,0.365059,236.679,234.079,0.306787,183.209,277.129,0.15046,0,0,0,300.639,252.329,0.332752,235.375,305.836,0.111262,207.977,416.77,0.121023,321.511,52.684,0.706167,342.394,52.6908,0.758646,308.513,72.2794,0.33244,360.604,78.8262,0.822505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329.31,52.712,0.830887,318.884,127.065,0.755489,266.697,114.007,0.682918,213.158,160.989,0.452188,200.167,194.953,0.642463,371.113,140.166,0.678523,375.007,209.268,0.552438,339.827,232.776,0.731091,271.913,244.518,0.309014,236.692,235.377,0.267861,189.703,257.561,0.141862,0,0,0,304.529,254.965,0.281017,245.84,298.014,0.0683229,207.979,416.765,0.0582265,322.832,52.6825,0.748586,345.001,53.9729,0.738135,308.509,72.2633,0.26625,359.402,80.1426,0.757464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329.309,50.0887,0.816293,318.911,120.558,0.803205,266.736,110.075,0.732384,217.137,157.093,0.550234,201.44,193.633,0.779283,371.129,136.212,0.676807,381.506,194.922,0.547243,375.024,214.552,0.7765,274.517,239.305,0.320358,238.005,227.566,0.277425,185.816,258.864,0.208242,106.21,408.932,0.188575,308.436,253.645,0.27983,252.356,292.806,0.0577743,221.017,414.154,0.0680565,322.807,48.7762,0.726366,343.689,51.4005,0.754473,308.458,69.6501,0.339976,360.642,78.8373,0.823942,0,0,0,0,0,0,0,0,0,82.721,421.962,0.126545,80.1009,414.138,0.148671,103.587,414.158,0.0857235
318.853,48.7853,0.87653,318.852,121.897,0.722505,265.409,111.417,0.643116,210.596,162.299,0.324607,201.428,193.652,0.510974,372.381,136.197,0.626754,385.429,189.724,0.459104,382.843,214.492,0.790577,282.358,252.354,0.180863,237.988,243.208,0.127513,161.003,326.732,0.0500443,108.779,403.737,0.0735058,322.818,260.169,0.178352,0,0,0,0,0,0,314.99,47.5556,0.734126,337.14,51.3899,0.802917,301.952,74.8989,0.0780605,352.808,81.3911,0.725443,0,0,0,0,0,0,0,0,0,87.9279,421.988,0.0557816,86.6338,416.766,0.0709262,0,0,0
328.059,54.0162,0.811029,318.956,124.486,0.743128,269.334,116.646,0.631059,214.528,158.386,0.280816,201.419,193.673,0.192549,369.799,133.608,0.669421,382.837,210.577,0.347124,381.57,218.407,0.219539,288.897,236.694,0.168133,253.652,231.467,0.133435,0,0,0,0,0,0,320.203,244.515,0.134788,0,0,0,0,0,0,322.789,50.1016,0.70439,341.106,54.0255,0.777882,308.447,74.8512,0.620402,358.064,81.4137,0.744318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329.351,48.8251,0.825839,318.901,120.543,0.795231,266.705,108.823,0.709231,215.83,159.698,0.442357,202.72,194.911,0.721683,371.101,134.91,0.673967,382.819,217.117,0.322901,338.477,181.859,0.16016,275.809,235.396,0.28076,239.308,228.862,0.226813,192.291,252.354,0.170093,0,0,0,307.162,245.832,0.26285,245.816,296.698,0.12029,211.884,412.866,0.102738,325.408,47.5155,0.765554,347.601,55.2829,0.811258,308.5,68.3552,0.280014,359.303,84.0313,0.807409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325.396,55.2781,0.773767,318.889,120.568,0.787115,266.688,110.087,0.738943,213.187,153.208,0.457159,0,0,0,371.131,134.899,0.637798,380.249,196.234,0.476981,378.878,214.547,0.782093,268.007,239.298,0.295702,234.08,227.549,0.259553,185.792,260.189,0.24543,0,0,0,300.627,253.643,0.264183,245.826,298.039,0.236128,201.433,427.208,0.336014,318.908,48.7731,0.646303,339.755,53.9847,0.795411,307.107,67.0985,0.0980268,358.004,78.7563,0.790712,163.64,444.177,0.163126,181.878,445.504,0.135235,196.248,433.727,0.114278,0,0,0,0,0,0,0,0,0
318.95,48.7795,0.868722,317.532,120.537,0.775296,265.416,110.069,0.736393,214.52,158.406,0.557997,201.406,193.68,0.767467,368.485,133.594,0.634274,380.231,192.313,0.396227,381.506,214.552,0.777211,266.692,235.395,0.463613,234.087,226.254,0.405981,187.112,258.871,0.335633,108.796,411.555,0.231169,298.031,244.541,0.392021,252.339,282.353,0.326577,193.608,423.296,0.340957,316.308,47.5112,0.788868,337.17,50.1023,0.812167,304.528,67.0569,0.0578411,352.857,78.7451,0.778866,161.03,448.081,0.167974,170.135,451.989,0.129456,181.886,424.606,0.158568,89.2266,424.587,0.117777,0,0,0,99.6715,424.586,0.12039
