keypoint_1_x,keypoint_1_y,keypoint_1_z,keypoint_2_x,keypoint_2_y,keypoint_2_z,keypoint_3_x,keypoint_3_y,keypoint_3_z,keypoint_4_x,keypoint_4_y,keypoint_4_z,keypoint_5_x,keypoint_5_y,keypoint_5_z,keypoint_6_x,keypoint_6_y,keypoint_6_z,keypoint_7_x,keypoint_7_y,keypoint_7_z,keypoint_8_x,keypoint_8_y,keypoint_8_z,keypoint_9_x,keypoint_9_y,keypoint_9_z,keypoint_10_x,keypoint_10_y,keypoint_10_z,keypoint_11_x,keypoint_11_y,keypoint_11_z,keypoint_12_x,keypoint_12_y,keypoint_12_z,keypoint_13_x,keypoint_13_y,keypoint_13_z,keypoint_14_x,keypoint_14_y,keypoint_14_z,keypoint_15_x,keypoint_15_y,keypoint_15_z,keypoint_16_x,keypoint_16_y,keypoint_16_z,keypoint_17_x,keypoint_17_y,keypoint_17_z,keypoint_18_x,keypoint_18_y,keypoint_18_z,keypoint_19_x,keypoint_19_y,keypoint_19_z,keypoint_20_x,keypoint_20_y,keypoint_20_z,keypoint_21_x,keypoint_21_y,keypoint_21_z,keypoint_22_x,keypoint_22_y,keypoint_22_z,keypoint_23_x,keypoint_23_y,keypoint_23_z,keypoint_24_x,keypoint_24_y,keypoint_24_z,keypoint_25_x,keypoint_25_y,keypoint_25_z
1162.99,235.97,0.858243,1145.38,344.898,0.795873,1024.79,336.031,0.732135,939.361,486.102,0.741921,1024.8,506.674,0.809549,1274.9,362.471,0.705229,1330.95,536.18,0.742599,1254.33,550.971,0.198609,1071.81,612.703,0.575426,998.286,592.118,0.531261,880.404,742.307,0.638864,783.323,1074.87,0.227326,1145.49,630.371,0.481448,1027.66,821.674,0.565205,0,0,0,1139.66,215.299,0.883845,1186.73,221.11,0.915455,1110.07,224.261,0.742477,1224.84,244.891,0.816741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780.401,1074.91,0.0635008
1174.81,206.535,0.838045,1142.6,365.401,0.810267,1021.73,347.805,0.690401,927.528,483.186,0.690403,927.501,553.975,0.840905,1280.69,383.16,0.691933,1327.94,556.766,0.73931,1277.82,674.597,0.638562,1060.09,656.855,0.551524,974.731,642.169,0.526841,868.802,809.826,0.629679,768.765,1074.87,0.0728744,1142.48,671.594,0.515608,1021.83,857.083,0.715276,0,0,0,1160.06,191.831,0.867775,1210,197.805,0.922167,1118.99,224.095,0.747734,1236.67,244.844,0.755919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177.76,206.568,0.828638,1145.46,365.417,0.803135,1021.78,347.822,0.70408,924.686,489.084,0.632298,927.537,556.765,0.825549,1283.67,385.947,0.711881,1328.02,553.887,0.775101,1274.96,671.492,0.774181,1060.08,665.71,0.568208,974.699,648.052,0.530057,871.713,809.919,0.659985,780.43,1074.87,0.0586704,1142.44,683.313,0.510609,1021.83,857.03,0.685133,0,0,0,1160.1,194.665,0.8901,1210.02,197.807,0.916122,1118.95,224.309,0.78847,1233.8,247.659,0.814249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154.24,230.098,0.824071,1142.39,350.711,0.804085,1021.84,336.069,0.735988,933.619,480.313,0.771176,1027.77,506.809,0.811056,1263.22,365.535,0.714804,1327.89,536.176,0.769403,1272.02,583.258,0.697671,1063.04,639.217,0.476457,983.538,618.596,0.435136,871.653,798.106,0.554653,774.533,1074.88,0.136145,1139.62,668.599,0.461303,1021.9,836.339,0.740398,0,0,0,1139.4,209.48,0.868086,1183.74,218.355,0.884448,1107.19,224.321,0.647292,1219.04,244.842,0.819148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177.74,200.786,0.853365,1145.39,365.428,0.805055,1021.8,347.811,0.701449,927.609,486.131,0.619241,927.617,556.742,0.824845,1280.74,385.984,0.717822,1333.87,553.791,0.768839,1286.66,683.34,0.741108,1062.99,648.002,0.570039,977.593,633.303,0.520021,874.639,806.884,0.621632,777.533,1074.88,0.0778922,1142.46,665.648,0.532193,1027.72,851.085,0.64488,0,0,0,1157.22,191.771,0.844933,1210.06,197.763,0.91983,1116.08,241.787,0.753213,1233.79,247.861,0.833876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.92,200.801,0.859364,1142.59,365.421,0.816605,1015.94,353.659,0.64922,927.538,489.098,0.667501,927.707,559.72,0.828899,1280.85,383.035,0.68804,1342.61,553.862,0.736166,1286.66,671.71,0.796476,1065.98,642.142,0.560353,980.581,624.439,0.527047,868.742,818.752,0.650295,765.822,1074.88,0.0749304,1148.33,659.766,0.503757,1024.78,856.982,0.696182,0,0,0,1160.04,191.742,0.852487,1210.06,197.747,0.921667,1118.88,230.13,0.73334,1236.57,247.629,0.750727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171.96,203.553,0.863377,1145.48,362.483,0.797707,1021.81,344.835,0.718651,918.828,474.385,0.641745,927.621,556.781,0.841353,1283.71,380.144,0.696649,1316.17,547.913,0.733271,1274.87,674.509,0.756412,1063,662.753,0.555238,977.569,647.984,0.518434,868.804,815.777,0.619426,0,0,0,1142.51,677.491,0.496115,1021.73,859.926,0.692418,0,0,0,1160.05,188.901,0.849788,1207.25,197.798,0.917466,1118.95,224.159,0.774106,1233.63,247.782,0.822107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139.54,224.057,0.894516,1139.49,347.823,0.79308,1018.88,333.031,0.670482,883.523,462.605,0.658648,789.349,389.044,0.772725,1260.11,365.569,0.739421,1339.64,559.717,0.759063,1269,459.618,0.763943,1071.86,609.738,0.580141,989.439,598.018,0.524603,874.676,768.731,0.546756,780.435,1074.86,0.149473,1148.4,624.451,0.513821,1045.39,812.863,0.644412,0,0,0,1127.76,197.697,0.858061,1166.05,203.647,0.884879,1107.15,203.646,0.235355,1216.17,238.842,0.773277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171.94,203.555,0.859838,1142.52,365.419,0.820396,1015.94,350.775,0.664032,921.706,483.117,0.664646,927.498,556.727,0.836099,1280.78,385.949,0.697554,1330.81,550.921,0.769465,1277.92,671.543,0.805142,1065.98,651.007,0.567037,977.662,639.142,0.538589,871.732,812.904,0.592788,0,0,0,1145.48,671.576,0.520413,1024.89,853.971,0.652326,0,0,0,1157.21,191.736,0.845608,1207.21,197.765,0.904471,1116.02,235.912,0.788404,1233.62,250.683,0.798801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171.96,209.46,0.825182,1142.55,365.462,0.824857,1013.01,353.643,0.668086,927.534,486.215,0.67001,927.553,556.737,0.841077,1280.7,385.969,0.694813,1330.78,553.954,0.775595,1277.82,674.595,0.707316,1063,659.772,0.544052,974.773,645.109,0.518359,865.827,809.924,0.628889,0,0,0,1142.54,674.472,0.502102,1030.67,845.218,0.641799,0,0,0,1157.25,194.69,0.876823,1207.24,200.541,0.912799,1115.97,235.931,0.78571,1236.6,244.858,0.771024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
